City,Metro Area,1 Adult,1 Adult 1 Child,1 Adult 2 Children,1 Adult 3 Children,2 Adults (1 Working),2 Adults (1 Working) 1 Child,2 Adults (1 Working) 2 Children,2 Adults (1 Working) 3 Children,2 Adults (1 Working Part Time) 1 Child*,2 Adults,2 Adults 1 Child,2 Adults 2 Children,2 Adults 3 Children
San Jose,"San Jose-Sunnyvale-Santa Clara, CA",18.54,35.76,41.55,54.39,27.25,33.40,36.21,43.77,37.53,12.62,19.16,22.25,27.72
San Francisco,"San Francisco-Oakland-Hayward, CA",18.73,36.77,42.56,55.22,27.97,34.41,37.22,44.61,38.54,12.72,19.66,22.76,28.13
Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",14.71,30.60,36.40,47.07,22.82,28.25,31.05,36.45,32.38,10.71,16.58,19.67,24.06
Portland,"Portland-Vancouver-Hillsboro, OR",14.59,27.46,33.35,44.00,22.19,26.06,28.87,34.14,29.38,10.75,15.01,18.15,22.52
Seattle,"Seattle-Tacoma-Bellevue, WA",15.05,29.75,34.53,44.83,22.54,27.34,29.95,35.96,31.30,10.77,16.06,18.63,22.90
Chicago,"Chicago-Naperville-Elgin, IL",13.34,26.96,31.50,38.72,20.96,24.64,27.26,30.26,28.53,10.04,14.65,17.11,19.77
Dallas,"Dallas-Fort Worth-Arlington, TX",11.71,23.92,27.53,34.09,19.10,23.07,25.52,28.76,25.57,9.12,13.05,15.04,17.43
Boston,"Boston-Cambridge-Newton, MA",14.70,30.63,34.63,41.86,21.80,26.10,28.58,32.29,31.71,10.41,16.44,18.61,21.40
Houston,"Houston-The Woodlands-Sugar Land, TX",12.00,23.93,27.53,34.16,19.18,23.08,25.53,28.83,25.58,9.26,13.05,15.04,17.46
Denver,"Denver-Aurora-Lakewood, CO",13.87,29.02,33.54,42.72,21.89,26.27,28.98,34.15,30.62,10.32,15.74,18.19,21.87
Huntsville,Huntsville,10.97,21.79,26.83,34.08,17.68,21.10,23.65,26.15,23.57,8.57,12.03,14.75,17.44
Baltimore,"Baltimore-Columbia-Towson, MD",13.69,28.85,33.21,40.85,21.61,26.29,28.83,32.40,30.31,10.13,15.56,17.93,20.82
Atlanta,"Atlanta-Sandy Springs-Roswell, GA",13.27,24.90,28.46,34.68,19.95,23.78,26.36,29.31,26.63,9.89,13.59,15.57,17.70
New York,"New York-Newark-Jersey City, NY",15.97,31.34,40.89,54.24,23.28,27.58,30.20,34.49,32.72,11.21,16.86,21.82,27.62
Columbus,Columbus,11.22,23.45,27.75,34.29,18.29,21.79,24.37,26.92,25.10,8.78,12.88,15.23,17.55
Washington,"Washington-Arlington-Alexandria, DC",17.64,30.20,33.46,41.20,24.49,29.02,31.62,36.33,31.94,12.06,16.25,18.09,21.01
San Diego,"San Diego-Carlsbad, CA",15.61,31.28,37.07,48.95,23.25,28.92,31.73,38.34,33.05,11.16,16.92,20.01,25.00